epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1193,0.92713,2.033,1.01012,1,0.22622,0.85666,0.71237,0.67564,2.61198,0.85047,0.000465508,0.000465508,0.000465508
2,24.0845,0.67381,0.93145,0.91212,0.99834,0.92798,0.99142,0.84126,0.59719,1.43918,0.87899,0.000932517,0.000932517,0.000932517
3,32.2479,0.65271,0.81484,0.91231,0.99552,0.99596,0.99482,0.89076,0.48936,0.606,0.84681,0.00139009,0.00139009,0.00139009
4,40.2935,0.64473,0.76258,0.90242,0.99263,0.99899,0.99498,0.87238,0.50539,0.50482,0.85495,0.00138656,0.00138656,0.00138656
5,48.0748,0.63472,0.73465,0.91455,0.98746,0.99694,0.99498,0.88473,0.51631,0.44495,0.85262,0.00137241,0.00137241,0.00137241
6,56.1185,0.59337,0.65224,0.89848,0.99377,0.99764,0.995,0.86677,0.54366,0.39963,0.86263,0.00135826,0.00135826,0.00135826
