epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4394,1.03249,1.87605,1.06744,1,0.16862,0.93004,0.6965,0.91333,2.68952,0.91242,0.000465978,0.000465978,0.000465978
2,81.7665,0.85708,1.01577,0.99613,0.97781,0.93607,0.98899,0.81292,0.73563,1.37117,0.9231,0.000932983,0.000932983,0.000932983
3,134.468,0.80363,0.91768,0.98951,0.98827,0.98504,0.99453,0.80499,0.76584,0.79593,0.95009,0.00139056,0.00139056,0.00139056
4,162.049,0.78362,0.84633,0.99141,0.98215,0.94061,0.98638,0.82726,0.70189,0.77865,0.93382,0.00138656,0.00138656,0.00138656
5,194.363,0.77436,0.80578,0.99342,0.9549,0.96875,0.98242,0.85653,0.58212,0.62813,0.88967,0.00137241,0.00137241,0.00137241
6,227.538,0.6863,0.70225,0.94763,0.99553,0.99816,0.99489,0.89435,0.49349,0.49144,0.85579,0.00135826,0.00135826,0.00135826
7,262.698,0.75389,0.72174,0.97948,0.99364,0.99184,0.9949,0.82331,0.64567,0.52538,0.92072,0.00134412,0.00134412,0.00134412
8,306.727,0.69938,0.6479,0.95864,0.99631,0.99672,0.995,0.86119,0.61999,0.48336,0.89623,0.00132997,0.00132997,0.00132997
9,343.541,0.65192,0.58439,0.9307,0.99767,0.9997,0.995,0.89138,0.52019,0.42899,0.87602,0.00131582,0.00131582,0.00131582
10,382.609,0.63728,0.56595,0.93555,0.99869,0.99851,0.995,0.87963,0.54859,0.39034,0.87283,0.00130168,0.00130168,0.00130168
11,421.335,0.66798,0.60056,0.95604,0.99851,0.99571,0.995,0.91641,0.43432,0.42429,0.84669,0.00128753,0.00128753,0.00128753
12,458.203,0.64812,0.52672,0.93146,0.99475,0.9909,0.99471,0.77158,0.91563,0.52943,1.03387,0.00127338,0.00127338,0.00127338
13,490.144,0.65767,0.58489,0.95435,0.99923,0.99669,0.995,0.87289,0.57505,0.38742,0.89248,0.00125923,0.00125923,0.00125923
14,521.015,0.60288,0.52047,0.92012,0.99929,0.99981,0.995,0.86938,0.55826,0.36049,0.88848,0.00124509,0.00124509,0.00124509
15,553.24,0.61244,0.54095,0.93676,0.9947,0.99313,0.995,0.86056,0.61747,0.36546,0.90549,0.00123094,0.00123094,0.00123094
16,584.918,0.61514,0.50354,0.92971,0.99518,0.99613,0.99496,0.90367,0.47258,0.32578,0.85113,0.00121679,0.00121679,0.00121679
17,623.738,0.59774,0.49446,0.92364,0.99597,0.9993,0.995,0.93077,0.39472,0.30094,0.83547,0.00120265,0.00120265,0.00120265
18,656.416,0.58533,0.47416,0.91631,0.99771,0.99864,0.99499,0.89066,0.52425,0.34774,0.87548,0.0011885,0.0011885,0.0011885
19,680.596,0.57785,0.4717,0.91495,0.99918,0.99778,0.995,0.91998,0.41714,0.30208,0.84429,0.00117435,0.00117435,0.00117435
20,704.345,0.56234,0.47174,0.91539,0.99739,1,0.99496,0.9345,0.41856,0.28287,0.83745,0.00116021,0.00116021,0.00116021
21,734.888,0.56339,0.45903,0.91099,0.99898,1,0.995,0.94342,0.36319,0.26392,0.82921,0.00114606,0.00114606,0.00114606
22,771.643,0.57834,0.47938,0.9246,0.99971,1,0.995,0.89451,0.49614,0.30718,0.85715,0.00113191,0.00113191,0.00113191
23,799.899,0.56149,0.4509,0.90788,0.99932,1,0.995,0.83763,0.64258,0.34484,0.91077,0.00111776,0.00111776,0.00111776
24,831.232,0.58721,0.46812,0.92356,0.99876,1,0.995,0.93908,0.39131,0.28315,0.83372,0.00110362,0.00110362,0.00110362
25,859.092,0.59921,0.47838,0.92827,0.99953,1,0.995,0.89773,0.48384,0.27594,0.86499,0.00108947,0.00108947,0.00108947
26,886.649,0.558,0.45577,0.91283,0.99953,0.99998,0.995,0.92295,0.41528,0.2589,0.83886,0.00107532,0.00107532,0.00107532
27,913.699,0.54481,0.4484,0.91121,0.99941,0.99857,0.995,0.9425,0.38624,0.25139,0.83222,0.00106118,0.00106118,0.00106118
28,940.701,0.53635,0.42442,0.90438,0.99888,0.99755,0.995,0.90681,0.47613,0.2706,0.86089,0.00104703,0.00104703,0.00104703
29,969.218,0.5554,0.44676,0.91049,0.99952,1,0.995,0.88762,0.51646,0.38008,0.86003,0.00103288,0.00103288,0.00103288
30,998.314,0.56184,0.45562,0.91305,0.99913,0.99985,0.995,0.91026,0.46041,0.26986,0.85268,0.00101873,0.00101873,0.00101873
31,1021.5,0.52606,0.41231,0.90139,0.99968,0.99871,0.995,0.93232,0.41934,0.24848,0.84664,0.00100459,0.00100459,0.00100459
32,1047.69,0.55946,0.4567,0.92234,0.99966,0.99872,0.995,0.95658,0.3394,0.22626,0.82145,0.00099044,0.00099044,0.00099044
33,1073.97,0.53739,0.42775,0.90121,0.99751,1,0.995,0.93421,0.39802,0.25262,0.83444,0.000976293,0.000976293,0.000976293
34,1097.93,0.52017,0.41818,0.90677,0.99973,0.99973,0.995,0.92003,0.43505,0.25293,0.84594,0.000962146,0.000962146,0.000962146
35,1121.9,0.53046,0.42632,0.90107,0.99781,0.99896,0.995,0.92651,0.42108,0.25996,0.84011,0.000947999,0.000947999,0.000947999
36,1150.86,0.52075,0.41389,0.90366,0.99915,0.99997,0.995,0.91844,0.45044,0.24265,0.8606,0.000933851,0.000933851,0.000933851
37,1176.56,0.52855,0.41598,0.90819,0.99956,1,0.995,0.94598,0.37496,0.21382,0.82685,0.000919704,0.000919704,0.000919704
38,1202.85,0.50305,0.39346,0.89495,0.99842,1,0.995,0.93778,0.37913,0.24009,0.83616,0.000905557,0.000905557,0.000905557
39,1229.23,0.53078,0.41281,0.90483,0.9993,1,0.995,0.88278,0.52959,0.26106,0.87647,0.00089141,0.00089141,0.00089141
40,1255.67,0.5416,0.41686,0.90729,0.99953,1,0.995,0.94707,0.35775,0.21897,0.82844,0.000877263,0.000877263,0.000877263
41,1285.23,0.49515,0.38445,0.89827,0.99952,1,0.995,0.92161,0.43608,0.2279,0.84783,0.000863116,0.000863116,0.000863116
42,1318.16,0.51276,0.40322,0.9046,0.99848,1,0.995,0.93132,0.42379,0.22995,0.84555,0.000848969,0.000848969,0.000848969
43,1406.11,0.50491,0.39456,0.89597,0.9996,1,0.995,0.93081,0.40343,0.23518,0.84445,0.000834822,0.000834822,0.000834822
44,1443.27,0.49866,0.38248,0.89687,0.99824,1,0.99499,0.93332,0.42525,0.22179,0.84939,0.000820675,0.000820675,0.000820675
45,1487.37,0.51134,0.4025,0.89974,0.99961,1,0.995,0.93969,0.41949,0.22018,0.8474,0.000806528,0.000806528,0.000806528
46,1528.86,0.49935,0.38723,0.89612,0.99902,1,0.995,0.95446,0.3603,0.21502,0.82879,0.00079238,0.00079238,0.00079238
47,1561.79,0.51195,0.39721,0.89875,0.99171,0.99781,0.99494,0.88835,0.5137,0.25659,0.88019,0.000778233,0.000778233,0.000778233
48,1593.88,0.48364,0.37642,0.8857,0.99937,0.99996,0.995,0.9169,0.42977,0.24335,0.84859,0.000764086,0.000764086,0.000764086
