epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5236,3.30738,4.36152,4.24903,0.0006,0.08441,0.00053,0.00014,2.68826,4.51051,4.11488,0.000465978,0.000465978,0.000465978
2,65.4667,3.02442,3.85242,3.79369,0.00082,0.24607,0.0018,0.00065,2.38028,4.42615,3.54146,0.000932983,0.000932983,0.000932983
3,100.15,2.48219,3.1433,3.07723,0.5297,0.18979,0.23604,0.11986,2.23116,3.85229,2.89572,0.00139056,0.00139056,0.00139056
4,132.938,1.99175,2.27759,2.46369,0.42,0.30472,0.31247,0.14311,2.17584,3.66853,2.67359,0.00138656,0.00138656,0.00138656
5,175.578,1.62061,1.71157,2.03785,0.94965,0.90344,0.97984,0.78315,0.82444,1.17706,1.46119,0.00137241,0.00137241,0.00137241
6,206.07,1.33531,1.3563,1.74529,0.98501,0.95851,0.99284,0.78214,0.86843,0.94198,1.39664,0.00135826,0.00135826,0.00135826
7,243.302,1.23293,1.27979,1.64595,0.83889,0.65118,0.74019,0.49874,1.41965,1.72808,1.98024,0.00134412,0.00134412,0.00134412
8,275.713,1.12675,1.13018,1.54726,0.98237,0.97854,0.9935,0.8223,0.679,0.77078,1.21593,0.00132997,0.00132997,0.00132997
9,310.321,1.00475,1.00434,1.42238,0.97256,0.96155,0.99062,0.82335,0.74549,0.75777,1.24906,0.00131582,0.00131582,0.00131582
10,345.584,0.97174,0.9553,1.38808,0.98138,0.96456,0.99318,0.8387,0.63732,0.77244,1.17611,0.00130168,0.00130168,0.00130168
