epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1722.71,0.63762,0.51251,1.05827,0.99428,0.99601,0.99497,0.82017,0.74207,0.38541,1.14095,0.005743,0.005743,0.005743
45,1760.3,0.65987,0.54252,1.07031,0.99629,1,0.995,0.89206,0.5242,0.33931,0.98592,0.005644,0.005644,0.005644
46,1801.06,0.60965,0.49942,1.03825,0.99813,0.9992,0.995,0.89887,0.51322,0.31482,0.97356,0.005545,0.005545,0.005545
47,1840.07,0.61894,0.51927,1.04438,0.99523,0.99721,0.99481,0.90909,0.50944,0.3064,0.97354,0.005446,0.005446,0.005446
48,1887.85,0.61776,0.49995,1.0302,0.99677,0.99857,0.99497,0.88918,0.51779,0.32142,0.97605,0.005347,0.005347,0.005347
49,1933.1,0.6302,0.53684,1.06041,0.99521,0.99671,0.99469,0.89408,0.51976,0.3292,0.99065,0.005248,0.005248,0.005248
50,1973.95,0.61991,0.5075,1.04892,0.99832,1,0.995,0.9395,0.39433,0.29142,0.90883,0.005149,0.005149,0.005149
51,2012.02,0.6204,0.51323,1.03734,0.99897,0.99637,0.995,0.90922,0.44778,0.31711,0.93702,0.00505,0.00505,0.00505
52,2057.37,0.62772,0.49619,1.04661,0.99517,1,0.99497,0.90173,0.45286,0.30381,0.93622,0.004951,0.004951,0.004951
53,2102.42,0.64445,0.50992,1.05442,0.99792,1,0.995,0.91334,0.45175,0.31542,0.94233,0.004852,0.004852,0.004852
54,2138.41,0.59493,0.47524,1.0238,0.90215,0.71868,0.86336,0.72875,0.79392,1.08092,1.24942,0.004753,0.004753,0.004753
55,2174.92,0.59955,0.48667,1.03488,0.99733,0.99537,0.995,0.93109,0.41171,0.2736,0.92475,0.004654,0.004654,0.004654
56,2211.02,0.59705,0.49762,1.03199,0.9967,0.99971,0.995,0.93731,0.3839,0.27389,0.89878,0.004555,0.004555,0.004555
57,2247.19,0.61417,0.4782,1.03698,0.99848,1,0.995,0.93379,0.38884,0.27647,0.91061,0.004456,0.004456,0.004456
58,2283.24,0.61497,0.5017,1.0393,0.99698,0.99857,0.995,0.89664,0.52887,0.30182,0.98107,0.004357,0.004357,0.004357
59,2322.6,0.57905,0.48124,1.01046,0.99828,1,0.995,0.93479,0.38502,0.28389,0.90962,0.004258,0.004258,0.004258
60,2359.24,0.60713,0.49373,1.03629,0.99706,0.99857,0.995,0.93686,0.38428,0.25874,0.91086,0.004159,0.004159,0.004159
61,2393.93,0.57481,0.45776,1.01593,0.99922,1,0.995,0.91793,0.44939,0.26208,0.94123,0.00406,0.00406,0.00406
62,2429.88,0.56641,0.46593,1.0191,0.99439,0.99488,0.99497,0.84692,0.64678,0.32901,1.05366,0.003961,0.003961,0.003961
63,2465.62,0.60189,0.48552,1.03474,0.99748,0.99857,0.995,0.9498,0.34683,0.2481,0.89364,0.003862,0.003862,0.003862
64,2505.26,0.60197,0.49259,1.03848,0.99816,1,0.995,0.94551,0.35988,0.2703,0.89522,0.003763,0.003763,0.003763
65,2537.52,0.58039,0.47164,1.01246,0.99464,1,0.99497,0.90964,0.48553,0.30075,0.96227,0.003664,0.003664,0.003664
66,2566.75,0.58794,0.47644,1.03829,0.99888,0.99849,0.995,0.95446,0.33357,0.25685,0.8855,0.003565,0.003565,0.003565
67,2598.36,0.55238,0.44964,0.99499,0.99827,0.99823,0.995,0.93668,0.38627,0.26409,0.90715,0.003466,0.003466,0.003466
68,2628.09,0.57625,0.47981,1.01637,0.99878,0.99789,0.995,0.88787,0.53139,0.29925,0.99103,0.003367,0.003367,0.003367
69,2657.87,0.59302,0.48315,1.03026,0.99927,1,0.995,0.92228,0.48549,0.27594,0.95786,0.003268,0.003268,0.003268
70,2687.61,0.56647,0.4654,1.00988,0.9936,0.97723,0.99487,0.93419,0.4174,0.28716,0.92855,0.003169,0.003169,0.003169
71,2717.34,0.55453,0.45347,1.00371,0.99788,0.99857,0.995,0.89741,0.50174,0.26851,0.96356,0.00307,0.00307,0.00307
72,2747.93,0.57532,0.47874,1.02084,0.99643,0.99857,0.995,0.94568,0.38025,0.25224,0.90737,0.002971,0.002971,0.002971
73,2783.89,0.54259,0.44464,1.00043,0.99914,1,0.995,0.9226,0.44734,0.25485,0.92857,0.002872,0.002872,0.002872
74,2813.35,0.59337,0.46604,1.02645,0.99718,1,0.995,0.90133,0.51754,0.278,0.96917,0.002773,0.002773,0.002773
75,2842.78,0.53114,0.41228,0.99074,0.99851,0.99974,0.995,0.93133,0.41177,0.2448,0.9135,0.002674,0.002674,0.002674
76,2872.25,0.52963,0.42193,0.98942,0.99921,1,0.995,0.89997,0.50632,0.27119,0.9579,0.002575,0.002575,0.002575
77,2901.75,0.53833,0.43804,1.0059,0.99914,1,0.995,0.932,0.42217,0.24681,0.91737,0.002476,0.002476,0.002476
78,2931.26,0.54422,0.4495,1.00274,0.99931,1,0.995,0.93126,0.42318,0.24346,0.9162,0.002377,0.002377,0.002377
79,2961.02,0.54813,0.44602,0.99892,0.99922,0.99845,0.995,0.917,0.44658,0.27007,0.92548,0.002278,0.002278,0.002278
80,2992.15,0.5475,0.44718,1.02059,0.99925,1,0.995,0.93319,0.4103,0.25373,0.91679,0.002179,0.002179,0.002179
81,3024.26,0.53822,0.43583,0.99353,0.99942,1,0.995,0.91612,0.45146,0.26332,0.92787,0.00208,0.00208,0.00208
82,3053.64,0.53139,0.43036,0.98838,0.99946,1,0.995,0.95679,0.33352,0.22543,0.87795,0.001981,0.001981,0.001981
83,3083.38,0.53579,0.42608,0.98616,0.99943,1,0.995,0.9684,0.29326,0.22817,0.85985,0.001882,0.001882,0.001882
84,3112.91,0.52215,0.41742,0.97947,0.99789,0.9997,0.99493,0.94783,0.33273,0.23441,0.87802,0.001783,0.001783,0.001783
85,3142.39,0.51908,0.40916,0.9852,0.99812,1,0.99499,0.96857,0.28968,0.21605,0.86109,0.001684,0.001684,0.001684
86,3174.22,0.51357,0.41635,0.9817,0.99677,0.99823,0.995,0.86951,0.58431,0.29766,1.04182,0.001585,0.001585,0.001585
87,3204.52,0.50478,0.40088,0.97579,0.99829,1,0.995,0.95478,0.3538,0.21912,0.8841,0.001486,0.001486,0.001486
88,3234.23,0.53285,0.44283,0.99376,0.99779,1,0.995,0.95914,0.31907,0.22099,0.87048,0.001387,0.001387,0.001387
89,3265.54,0.53822,0.4504,0.9969,0.99657,1,0.99486,0.9256,0.43248,0.2318,0.9168,0.001288,0.001288,0.001288
90,3291.58,0.52289,0.42724,0.98758,0.99911,1,0.995,0.92154,0.43158,0.23396,0.92511,0.001189,0.001189,0.001189
91,3357.06,0.54852,0.3914,0.99289,0.99622,1,0.995,0.92374,0.42238,0.25647,0.93332,0.00109,0.00109,0.00109
92,3380.54,0.44999,0.36077,0.93584,0.98486,0.99828,0.99491,0.91403,0.48445,0.26175,0.97051,0.000991,0.000991,0.000991
93,3404.1,0.44678,0.35202,0.93472,0.99915,1,0.995,0.96182,0.3272,0.20924,0.8754,0.000892,0.000892,0.000892
94,3427.66,0.4552,0.36278,0.94685,0.9979,0.99981,0.995,0.96595,0.31455,0.20959,0.86408,0.000793,0.000793,0.000793
95,3453.82,0.43375,0.33477,0.93324,0.99923,0.99989,0.995,0.95178,0.35574,0.21555,0.88228,0.000694,0.000694,0.000694
96,3477.34,0.42916,0.35237,0.93212,0.99898,1,0.995,0.95674,0.32946,0.20961,0.86777,0.000595,0.000595,0.000595
97,3503.33,0.4168,0.35002,0.92535,0.99893,1,0.995,0.97637,0.27636,0.19222,0.85245,0.000496,0.000496,0.000496
98,3529.28,0.41535,0.34181,0.931,0.99889,1,0.995,0.97088,0.3104,0.19948,0.86046,0.000397,0.000397,0.000397
99,3555.2,0.43355,0.36822,0.94263,0.99912,1,0.995,0.97442,0.30265,0.19979,0.85913,0.000298,0.000298,0.000298
100,3581.14,0.42908,0.34969,0.92813,0.99812,1,0.995,0.96954,0.30813,0.19502,0.85871,0.000199,0.000199,0.000199
